,show,dates
0,Sporting Days Farm February H.T. (Feb 2021),02/06/2021-02/06/2021
1,Three Lakes Winter I H.T. at Caudle Ranch(Feb 2021),2/6/2021
2,February 4th: Barnstaple Jackpot + 3-Phase ,02/04/2021-02/04/2021
3,Full Gallop Farm January H.T(Jan 2021),1/30/2021
4,Galway Downs 2021 Kickoff H.T.(Jan 2021),1/29/2021
5,Rocking Horse Winter I H.T.(Jan 2021),01/29/2021-01/31/2021
6,Stable View Aiken Opener H.T.,01/23/2021-01/24/2021
7,Grand Oaks H.T. (Jan 2021),01/23/2021-01/24/2021
8,Full Gallop Farm Schooling Show (Jan 2021),01/17/2021-01/17/2021
9,Pipe Opener 1 - CHP (Jan 2021),01/16/2021-01/16/2021
10,Stable View Winter Combined Test(Jan 2021),01/16/2021-01/16/2021
11,Horse Trials at Majestic Oaks (Jan 2021),01/15/2021-01/17/2021
12,Barnstaple South H.T(Jan 2021),01/09/2021-01/10/2021
13,Full Gallop Farm Schooling Show (Jan 2021),01/03/2021-01/03/2021
14,POP Cross Country Schooling and Schooling Show,12/20/2020-12/20/2020
15,Stable View Eventing Academy Schooling H.T.,12/13/2020-12/13/2020
16,Full Gallop Farm December H.T.(Dec 2020),12/13/2020-12/13/2020
17,Majestic Oaks Schooling Show,12/12/2020-12/12/2020
18,Rocking Horse December H.T.(Dec 2020),12/05/2020-12/06/2020
19,Sporting Days Farm Horse Trials IV(Dec 2020),12/05/2020-12/05/2020
20,December 3rd: Barnstaple Jackpot + 3-Phase,12/03/2020-12/03/2020
21,Pine Top Thanksgiving H.T.(Nov 2020),11/28/2020-11/29/2020
22,Grand Oaks H.T.(Nov 2020),11/21/2020-11/22/2020
23,Rocking Horse December H.T.(Dec 2020),11/19/2020
24,Stable View Eventing Academy Horse Trials (Nov 15),11/15/2020-11/15/2020
25,Morven Park Spring Horse Trials,11/14/2020-11/15/2020
26,Tryon International 3-Day Event(Nov 2020),11/11/2020-11/15/2020
27,Full Gallop Farm Schooling Show (Nov 2020),11/08/2020-11/08/2020
28,Full Moon Farms H.T.(Nov 2020),11/08/2020-11/08/2020
29,Horse Trials at Majestic Oaks (Nov 2020),11/07/2020-11/08/2020
30,Texas Rose Horse Park Fall HT,11/07/2020-11/08/2020
31,War Horse Event Series November H.T.(Nov 2020),11/07/2020-11/08/2020
32,Waredaca November Starter Horse Trials,11/07/2020-11/07/2020
33,November 5th: Barnstaple Jackpot + 3-Phase,11/05/2020-11/05/2020
34,MDHT November Starter Trial,10/31/2020-10/31/2020
35,Plantation Field October Starter Horse Trials,10/31/2020-10/31/2020
36,Rocking Horse Fall H.T.(Oct 2020),10/31/2020-11/01/2020
37,Galway Downs International Event & H.T.(Oct 2020),10/28/2020-11/01/2020
38,The VHT International & H.T.(Oct 2020),10/28/2020-11/01/2020
39,Chattahoochee Hills H.T.(Oct 2020),10/24/2020-10/25/2020
40,Grand Oaks Horse Trials,10/24/2020-10/25/2020
41,Holly Hill H.T.(Oct 2020),10/24/2020-10/25/2020
42,Waredaca Classic Three Day Event (Oct 2020),10/22/2020-10/25/2020
43,Waredaca Classic Horse Trials (Oct 2020),10/22/2020-10/25/2020
44,POP XC Schooling and Schooling Show(Oct),10/18/2020-10/18/2020
45,Stable View Eventing Academy Schooling H.T.,10/18/2020-10/18/2020
46,Will O'Wind Horse Trials,10/18/2020-10/18/2020
47,"MDHT/HCS, USA Saddlery October Starter Trial ",10/17/2020-10/18/2020
48,Chagrin Valley Farms,10/17/2020-10/18/2020
49,Fair Hill Starter Horse Trials ,10/17/2020-10/17/2020
50,Hunt Club Farms H.T.(Oct 2020),10/17/2020-10/17/2020
51,Silverwood Farm Fall HT,10/17/2020-10/17/2020
52,Tryon Riding & Hunt Club H.T.,10/17/2020-10/18/2020
53,War Horse Event Series October H.T.(Oct 2020),10/11/2020-10/11/2020
54,Glenarden Farms Horse Trials,10/10/2020-10/10/2020
55,Radnor Hunt Horse Trials,10/10/2020-10/10/2020
56,Ocala Fall HT(Oct 2020),10/10/2020-10/11/2020
57,Maryland Horse Trials and Area II Championships,10/09/2020-10/11/2020
58,Woodside International H.T.(Oct 2020),10/08/2020-10/11/2020
59,Bath Pony Club Mini Trial,10/04/2020-10/04/2020
60,Horse Trials at Majestic Oaks ,10/03/2020-10/04/2020
61,CCI - S Bromont Horse Trials ,10/03/2020-10/04/2020
62,Horse Trials at Majestic Oaks ,10/03/2020-10/03/2020
63,WindRidge Farm Fall H.T.(Oct 2020),10/03/2020-10/04/2020
64,Morven Park Fall International H.T. & CCIS,10/02/2020-10/04/2020
65,Poplar Place Farm H.T.  & Area Championships,10/02/2020-10/04/2020
66,ESDCTA New Jersey H.T. at the Horsepark,09/27/2020-09/27/2020
67,Full Moon Farms Starter H.T. ,09/27/2020-09/27/2020
68,Silverwood Farm Unrecognized H.T.,09/27/2020-09/27/2020
69,Fleur de Leap Horse Trials,09/26/2020-09/27/2020
70,Larkin Hill HT,09/26/2020-09/27/2020
71,Barnstaple South Jackpot and 3-Phase (Sept. 24),09/24/2020-09/24/2020
72,Stable View Oktoberfest 1/ 2/3/4* and H.T.,09/24/2020-09/27/2020
73,Full Gallop Farm Sept. Schooling HT,09/20/2020-09/20/2020
74,Apple Knoll Farm H.T.(Sep 2020),09/19/2020-09/19/2020
75,Grandview Fall Horse Trials,09/19/2020-09/23/2020
76,Meadowcreek Park HT-The Fall Social Event,09/19/2020-09/20/2020
77,Plantation Field International CCI-S(Sep 2020),09/16/2020-09/20/2020
78,Glen Oro Autumn Horse Trials,09/13/2020-09/13/2020
79,MDHT September Starter,09/12/2020-09/13/2020
80,Flora Lea Fall H.T. (Sep 2020),09/12/2020-09/13/2020
81,GMHA September H.T.(Sep 2020),09/12/2020-09/13/2020
82,Ocala Summer H.T. I(Sep 2020) RESCHEDULED ,09/12/2020-09/13/2020
83, Otter Creek Fall H.T. (Sep 2020),09/11/2020-09/13/2020
84,Blue Ridge Mountain Horse Trials at TIEC(Sep 2020),09/11/2020-09/13/2020
85,Dreamcrest Horse Trials,09/06/2020-09/06/2020
86,Course Brook Farm Horse Trials,09/05/2020-09/05/2020
87,Fair Hill Starter Horse Trials ,09/05/2020-09/05/2020
88,Five Points Horse Trials,09/05/2020-09/06/2020
89,Majestic Oaks Schooling Show,09/05/2020-09/05/2020
90,GMHA Starter Horse Trials (Aug 2020),08/30/2020-08/30/2020
91,Stevens Creek Horse Trials(Aug 2020),08/30/2020-08/30/2020
