Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Caroline Martin,Cheranimo,29.00,4,0.00,0.00,29.00,3,0.00,5:08,0.00,29.00,1
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Caroline Martin,Redfield HSH Piccini,30.00,6,0.00,0.00,30.00,5,0.00,5:05,0.00,30.00,2
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Megan Loughnane,Flamenco Ping,30.80,8,0.00,0.00,30.80,7,0.00,5:08,0.00,30.80,3
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Joe Meyer,Clip Clop,29.20,5,0.00,0.00,29.20,4,0.00,5:19,2.00,31.20,4
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Joe Meyer,Gortglas Crazy Love ,30.20,7,0.00,0.00,30.20,6,0.00,5:17,1.20,31.40,5
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Anna Pierce,Obiejohn,31.90,9,0.00,0.00,31.90,8,0.00,5:00,0.00,31.90,6
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Ivie Cullen-Dean,Fernhill Full Throttle,35.80,17,0.00,0.00,35.80,12,0.00,5:10,0.00,35.80,7
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Kaitlin Hartford,Bazillion Bells,34.20,15,4.00,0.00,38.20,16,0.00,5:11,0.00,38.20,8
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Alexandra Green Kerby,Fernhill Leitrim Lass,39.20,19,0.00,0.00,39.20,17,0.00,5:14,0.00,39.20,9
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Lauren Kieffer,Veronica,26.70,1,0.00,0.00,26.70,1,0.00,5:47,13.20,39.90,10
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Rebekah Simmons,Lugansk,28.80,3,8.00,0.00,36.80,14,0.00,5:25,4.40,41.20,11
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Selena O'Hanlon,Wandoboyslew,32.10,10,4.00,0.00,36.10,13,0.00,5:27,5.20,41.30,12
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Nick Larkin,Cellusana Alex Too,32.50,11-T,8.00,0.00,40.50,18,0.00,5:25,4.40,44.90,13
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Nick Larkin,Cellusana Polish Smarts,37.30,18,4.00,1.60,42.90,19,0.00,5:31,6.80,49.70,14
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Shanon Baker,Carlingford Wells,33.50,14,0.00,0.00,33.50,10,20.00,5:28,5.60,59.10,15
