EventID,EventDateDisplayRange,Title,Merge_Candidate,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite
17804,"NOVEMBER 13-14, 2021", Horse Trials at Majestic Oaks,Horse Trials at Majestic Oaks ,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://www.MajesticOaksOcala.com
17268,"JANUARY 10-12, 2020", Horse Trials at Majestic Oaks ,Horse Trials at Majestic Oaks ,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17338,"MAY 9-10, 2020", Horse Trials at Majestic Oaks ,Horse Trials at Majestic Oaks ,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17299,3-Oct, Horse Trials at Majestic Oaks ,Horse Trials at Majestic Oaks ,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17512,7-Nov, Horse Trials at Majestic Oaks ,Horse Trials at Majestic Oaks ,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://www.MajesticOaksOcala.com
17562,"JANUARY 16-17, 2021", Horse Trials at Majestic Oaks ,Majestic Oaks Schooling Show,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17527,"JULY 10-12, 2020",43rd Annual Whidbey Island  ,Needs Key Lookup,7,-122.630882,48.316544,Whidbey Island Equestrian Park,Whidbey Island Pony Club Equestrian Facility,Coupeville,WA,98239,http://www.whidbeyhorsetrials.org
17387,"JUNE 26-28, 2020",Abbe Ranch Horse Trial,Kent School Horse Trials,9,-104.932076,39.218062,9998 S. Perry Park Rd,,Larkspur,CO,80118,http://www.abberanchevents.com/
17523,9-May,Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
17523,9-May,Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2019),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
17467,19-Sep,Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
17629,8-May,Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
17758,18-Sep,Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.572205,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
17424,"AUGUST 7-9, 2020",Area VII Young Rider Benefit  ,Needs Key Lookup,7,-123.083809,46.758701,828 Lincoln Creek Rd,Lincoln Creek,Chehalis,WA,98531,https://www.areavii.org/benefit-horse-trials
17717,"AUGUST 6-8, 2021",Area VII Young Rider Benefit  ,Needs Key Lookup,7,-123.083809,46.758701,828 Lincoln Creek Rd,Lincoln Creek,Chehalis,WA,98531,https://www.areavii.org/benefit-horse-trials
17388,"JUNE 27-28, 2020",Arrowhead  ,Needs Key Lookup,7,-108.58403,45.85384,3651 Alkali Creek Rd.,Warfield Park,Billings,MT,59105,http://www.warfieldpark.org
17687,"JUNE 26-27, 2021",Arrowhead  ,Needs Key Lookup,7,-108.58403,45.85384,3651 Alkali Creek Rd.,Warfield Park,Billings,MT,59105,http://www.warfieldpark.org
17367,"JUNE 12-14, 2020",Aspen Farms  ,Needs Key Lookup,7,-122.607213,46.896835,13042 Morris Rd,Aspen Farms,Yelm,WA,98597,http://www.aspenfarmseventing.com/
17445,"SEPTEMBER 4-6, 2020",Aspen Farms  ,Needs Key Lookup,7,-122.607213,46.896835,13042 Morris Rd,Aspen Farms,Yelm,WA,98597,http://www.aspenfarmseventing.com/
17666,"JUNE 11-13, 2021",Aspen Farms   ,Needs Key Lookup,7,-122.607213,46.896835,13042 Morris Rd,Aspen Farms,Yelm,WA,98597,http://www.aspenfarmseventing.com/
17754,"SEPTEMBER 17-19, 2021",Aspen Farms   ,Needs Key Lookup,7,-122.607213,46.896835,13042 Morris Rd,Aspen Farms,Yelm,WA,98597,http://www.aspenfarmseventing.com/
17598,"MARCH 26-28, 2021",at Majestic Oaks ,Horse Trials at Majestic Oaks ,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17598,"MARCH 26-28, 2021",at Majestic Oaks ,Horse Trials at Majestic Oaks (Nov 2020),3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17598,"MARCH 26-28, 2021",at Majestic Oaks ,Majestic Oaks June Schooling Show,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17598,"MARCH 26-28, 2021",at Majestic Oaks ,Horse Trials at Majestic Oaks (Jan 2020),3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://majesticoaksocala.com
17581,"JANUARY 9-10, 2021",Barnstaple South H.T,Barnstaple South Jackpot and 3-Phase (Sept. 24),3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://barnstaplesouth.com
17625,"MAY 1-2, 2021",Barnstaple South H.T ,November 5th: Barnstaple Jackpot + 3-Phase,3,-82.213234,29.403458,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://
17455,"SEPTEMBER 11-13, 2020",Blue Ridge Mountain   at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2020),2,-82.066895,35.282646,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756,http://www.tryon.com
17711,"JULY 24-25, 2021",Blue Ridge Mountain at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),2,-82.066895,35.282646,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756,http://www.tryon.com
17374,14-Jun,Bucks County Horse Park  ,Needs Key Lookup,2,-75.17031,40.516807,8934 Easton Rd.,Bucks County Horse Park,Revere,PA,18953,http://www.buckscountyhorsepark.org/
17450,6-Sep,Bucks County Horse Park  ,Needs Key Lookup,2,-75.17031,40.516807,8934 Easton Rd.,Bucks County Horse Park,Revere,PA,18953,http://www.buckscountyhorsepark.org
