Event,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate_Decimal,Fall_Rate_Percent,End_Datetime
Full Moon Farms H.T.(Nov 2020),-76.91386,39.4572,59.9,0.0,4.9,9.8,3.2,0.72,0.0,0.0,0.19,1,130,0.007692307692307693,0.7692307692307693,2020-11-08
Horse Trials at Majestic Oaks (Nov 2020),-82.21323000000002,29.40346,74.7,0.0,16.2,9.7,54.1,0.67,0.0,0.01,0.18000000000000002,2,120,0.016666666666666666,1.6666666666666667,2020-11-07
November 5th: Barnstaple Jackpot + 3-Phase,-82.21323000000002,29.40346,69.9,0.0,12.6,9.8,35.1,0.59,0.01,0.18000000000000002,0.23000000000000004,0,21,0.0,0.0,2020-11-05
Galway Downs International Event & H.T.(Oct 2020),-117.03396,33.48728,60.7,0.0,8.4,9.7,0.0,0.44,0.06,0.06,0.06,11,376,0.02925531914893617,2.925531914893617,2020-10-28
Chattahoochee Hills H.T.(Oct 2020),-84.71646,33.63024,68.2,2.75,6.6,7.9,72.5,0.27,0.0,0.0,0.0,7,204,0.03431372549019608,3.431372549019608,2020-10-24
Grand Oaks Horse Trials,-82.21323000000002,29.40346,64.1,0.14,13.4,8.7,25.5,0.92,0.0,0.0,0.01,3,169,0.01775147928994083,1.7751479289940828,2019-11-23
Grand Oaks Horse Trials,-82.21323000000002,29.40346,64.1,0.14,13.4,8.7,25.5,0.92,0.0,0.0,0.01,3,169,0.01775147928994083,1.7751479289940828,2019-01-18
Waredaca Classic Horse Trials (Oct 2020),-77.08061,39.23332,66.3,0.01,7.9,5.5,30.1,0.17,0.0,0.0,0.1,3,99,0.030303030303030304,3.0303030303030303,2020-10-22
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.9398496240601504,2020-08-09
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.9398496240601504,2020-02-17
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.9398496240601504,2019-10-20
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.9398496240601504,2019-07-21
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.9398496240601504,2019-05-12
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.9398496240601504,2019-02-24
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.9398496240601504,2020-12-13
War Horse Event Series October H.T.(Oct 2020),-79.36633,35.01506,70.3,1.14,9.3,7.4,94.7,0.81,0.04,0.04,0.04,0,2,0.0,0.0,2020-10-11
Glenarden Farms Horse Trials,-83.84456999999998,42.36583,72.6,0.0,6.2,8.5,9.2,0.11,0.0,0.6,1.66,10,243,0.0411522633744856,4.11522633744856,2020-07-25
Glenarden Farms Horse Trials,-83.84456999999998,42.36583,72.6,0.0,6.2,8.5,9.2,0.11,0.0,0.6,1.66,10,243,0.0411522633744856,4.11522633744856,2019-10-12
Glenarden Farms Horse Trials,-83.84456999999998,42.36583,72.6,0.0,6.2,8.5,9.2,0.11,0.0,0.6,1.66,10,243,0.0411522633744856,4.11522633744856,2019-07-27
Glenarden Farms Horse Trials,-83.84456999999998,42.36583,72.6,0.0,6.2,8.5,9.2,0.11,0.0,0.6,1.66,10,243,0.0411522633744856,4.11522633744856,2020-10-10
