Unnamed: 0,Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,Difficulty,Junior,Senior,CT,Rider_x,Fall,Horse_x,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,wgust-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate,Fall_Rate_Decimal,Fall_Rate_Percent
0,Introductory-A,Full Moon Farms H.T.(Nov 2020),Aylah Dhruv,Sig,37.0,7,0,0,37,5,0,4:54,0,37,1,1,0,0,0,Aylah Dhruv,0,,-76.91386,39.4572,59.9,0.0,4.9,9.8,3.2,,0.72,0.0,0.0,0.19,1,130,0.007692307692307693,0.007692307692307693,0.7692307692307693
130,Open Preliminary,Horse Trials at Majestic Oaks (Nov 2020),Alexander O'Neal,Rock on Cooley,25.9,1,0,0,25.9,1,0,5:18,0,25.9,1,5,0,0,0,Alexander O'Neal,0,Rock on Cooley,-82.21323000000002,29.40346,74.7,0.0,16.2,9.7,54.1,26.4,0.67,0.0,0.01,0.18000000000000002,2,120,0.016666666666666666,0.016666666666666666,1.6666666666666667
870,Training,November 5th: Barnstaple Jackpot + 3-Phase,Jennifer Robertson,Urijah,28.8,1,0,0,28.8,1, ,0:00, , , ,4,0,0,0,,0,,-82.21323000000002,29.40346,69.9,0.0,12.6,9.8,35.1,18.9,0.59,0.01,0.18000000000000002,0.23000000000000004,0,21,0.0,0.0,0.0
1258,CCI Two Star Long,Galway Downs International Event & H.T.(Oct 2020),Lauren Burnell,Freedom Hill,27.2,3,2,0,0,27.2,0,6:57,0,27.2,1,5,0,0,0,Lauren Burnell,0,Freedom Hill,-117.03396,33.48728,60.7,0.0,8.4,9.7,0.0,,0.44,0.06,0.06,0.06,11,376,0.02925531914893617,0.02925531914893617,2.925531914893617
2140,Advanced,Chattahoochee Hills H.T.(Oct 2020),Marilyn Little,RF Scandalous,22.9,1,0,0,22.9,1, ,0:00, , , ,7,0,0,0,Marilyn Little,0,RF Scandalous,-84.71646,33.63024,68.2,2.75,6.6,7.9,72.5,18.3,0.27,0.0,0.0,0.0,7,204,0.03431372549019608,0.03431372549019608,3.431372549019608
2361,Advanced CT,Grand Oaks Horse Trials,Clayton Fredericks,FE Stormtrooper,28.9,1,0,0,28.9,1, ,0:00, , , ,7,0,0,0,Clayton Fredericks,0,FE Stormtrooper,-82.21323000000002,29.40346,64.1,0.14,13.4,8.7,25.5,19.7,0.92,0.0,0.0,0.01,3,169,0.01775147928994083,0.01775147928994083,1.7751479289940828
2683,Modified,Waredaca Classic Horse Trials (Oct 2020),Tracey Bienemann,Eleganze,30.7,4,0,0,30.7,3,0,5:48,2.8,33.5,1,0,0,0,0,Tracey Bienemann,0,Eleganze,-77.08061,39.23332,66.3,0.01,7.9,5.5,30.1,,0.17,0.0,0.0,0.1,3,99,0.030303030303030304,0.030303030303030304,3.0303030303030303
2823,Beginner Novice Combined Test,Stable View Eventing Academy Schooling H.T.,Jeanne Hulse,Excel Star Tristan,36.3,1,0,1.2,37.5,1, ,0:00, , , ,2,0,0,1,Jeanne Hulse,0,Excel Star Tristan,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,17.2,0.63,1.51,3.29,4.7,5,532,0.009398496240601503,0.009398496240601503,0.9398496240601504
3801,Advanced Combined Test,War Horse Event Series October H.T.(Oct 2020),McKenzie Cumbea,Regiment,34.8,4,0,0,34.8,1, ,0:00, , , ,7,0,0,1,McKenzie Cumbea,0,Regiment,-79.36633,35.01506,70.3,1.14,9.3,7.4,94.7,22.3,0.81,0.04,0.04,0.04,0,2,0.0,0.0,0.0
3803,Open Pre-Training,Glenarden Farms Horse Trials,Holly Jacks Smither,Josephine,29.5,2,0,0,29.5,2,0,4:56,0,29.5,1,4,0,0,0,Holly Jacks Smither,0,Josephine,-83.84456999999998,42.36583,72.6,0.0,6.2,8.5,9.2,,0.11,0.0,0.6,1.66,10,243,0.0411522633744856,0.0411522633744856,4.11522633744856
4565,CCI Two Star Short,Woodside International H.T.(Oct 2020),Tamra Smith,AEV Above Authority,27.2,4,0,0.4,27.6,2,0,5:32,0,27.6,1,5,0,0,0,Tamra Smith,0,AEV Above Authority,-122.24548,37.40747,60.7,0.0,10.6,8.0,96.4,17.2,0.66,0.0,0.0,0.0,10,376,0.026595744680851064,0.026595744680851064,2.6595744680851063
