Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,dates,Start_Date,End_Date,Start_Datetime,End_Datetime,Datetime_Match,Title,Merge_Candidate,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite
Introductory-A,Full Moon Farms H.T.(Nov 2020),Christine  Hryzak,FMF SOL,34.3,4-T,4,0,38.3,7,0,4:56,0,38.3,2,11/08/2020-11/08/2020,11/8/20,11/8/20,11/8/20,11/8/20,True,Full Moon Farms  ,Full Moon Farms H.T.(Nov 2020),2,-76.91386,39.4572,4326 Louisville Rd,Full Moon Farm,Finksburg,MD,21048.0,http://fullmoonfarm.com/
Training-A,Apple Knoll Farm H.T.(Sep 2019),Amanda Gardiner,Finn McCool,33.4,4,0,0,33.4,2,0,4:58,0,33.4,1,09/21/2019-09/21/2019,9/21/19,9/21/19,9/21/19,9/21/19,True,Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2019),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/
Open Preliminary,Horse Trials at Majestic Oaks (Nov 2020),Shelby  Brost,RHF Peterzano,27.2,4,0,0,27.2,3,0,5:24,0,27.2,2,11/07/2020-11/08/2020,11/7/20,11/8/20,11/7/20,11/8/20,False,at Majestic Oaks ,Horse Trials at Majestic Oaks (Nov 2020),3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://majesticoaksocala.com
Training-A,Apple Knoll Farm H.T.(Sep 2020),Lanie Mourgenos,Fit & Frisky,24.6,1,0,0,24.6,1,0,4:46,0,24.6,1,09/19/2020-09/19/2020,9/19/20,9/19/20,9/19/20,9/19/20,True,Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2020),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/
Advanced / Intermediate,Texas Rose Horse Park Fall HT,Sydney Elliott,Commando D' Osthuy,38.2,3,12,4,54.2,3,0,0:00,W,W,W,11/09/2019-11/10/2019,11/9/19,11/10/19,11/9/19,11/10/19,False,Fresno County Horse Park  ,Texas Rose Horse Park Fall HT,6,-119.92303000000001,36.843309999999995,7430 N. Weber Ave,Fresno County Horsepark,Fresno,CA,93722.0,http://www.FresnoCountyHorsePark.com
Dressage Test of Choice - Email Secreta,Barnstaple South Jackpot and 3-Phase (Sept. 24),Sarah Jaycocks,Huck Finn, , , ,0:00, , , , , , , ,09/24/2020-09/24/2020,9/24/20,9/24/20,9/24/20,9/24/20,True,Barnstaple South H.T,Barnstaple South Jackpot and 3-Phase (Sept. 24),3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://barnstaplesouth.com
Training,Bath Pony Club Mini Trial,Emily Garside,Heathen's Gold n Blue,36.43,2,0,0,36.43,1,0,4:46,0,36.43,1,10/04/2020-10/04/2020,10/4/20,10/4/20,10/4/20,10/4/20,True,Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.5168,38.15169,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511.0,https://midsouth.ponyclub.org/
Training,Bath Pony Club Mini Trial,Emily Garside,Heathen's Gold n Blue,36.43,2,0,0,36.43,1,0,4:46,0,36.43,1,08/16/2020-08/16/2020,8/16/20,8/16/20,8/16/20,8/16/20,True,Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.5168,38.15169,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511.0,https://midsouth.ponyclub.org/
Advanced Test A,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),Doug Payne,Quantum Leap,28.6,3,0,0,28.6,2,0,7:12,12,40.6,1,09/14/2019-09/15/2019,9/14/19,9/15/19,9/14/19,9/15/19,False,Blue Ridge Mountain at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),2,-82.0669,35.28265,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756.0,http://www.tryon.com
Novice,November 5th: Barnstaple Jackpot + 3-Phase,Sarah Jaycocks,Huck Finn,29.1,1,0,0,29.1,1,0,4:04,0,29.1,1,11/05/2020-11/05/2020,11/5/20,11/5/20,11/5/20,11/5/20,True,Barnstaple South H.T ,November 5th: Barnstaple Jackpot + 3-Phase,3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://
