Title,Merge_Candidate,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite
Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2019),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2020),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
Apple Knoll Farm  ,Apple Knoll Farm H.T.(Sep 2020),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360,http://www.appleknoll.com/
Barnstaple South H.T,Barnstaple South Jackpot and 3-Phase (Sept. 24),3,-82.21323,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686,http://barnstaplesouth.com
Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.51680,38.15169,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511,https://midsouth.ponyclub.org/
Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.51680,38.15169,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511,https://midsouth.ponyclub.org/
Blue Ridge Mountain at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),2,-82.06690,35.28265,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756,http://www.tryon.com
Blue Ridge Mountain   at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2020),2,-82.06690,35.28265,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756,http://www.tryon.com
Catalpa Corner Charity  ,Catalpa Corner Charity Horse Trial,4,-91.41017,41.71473,5365 Elmira Rd.,Catalpa Corner,Iowa City,IA,52240,http://www.catalpacorner.org
Catalpa Corner Charity  ,Catalpa Corner Charity Horse Trial,4,-91.41017,41.71473,5365 Elmira Rd.,Catalpa Corner,Iowa City,IA,52240,http://www.catalpacorner.org
Catalpa Corner May Madness  ,Catalpa Corner Charity Horse Trial,4,-91.41017,41.71473,5365 Elmira Rd.,Catalpa Corner,Iowa City,IA,52240,http://www.catalpacorner.org
Chattahoochee Hills  ,Chattahoochee Hills H.T. (April 2019),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213,http://www.chatthillseventing.com/
Chattahoochee Hills  ,Chattahoochee Hills H.T. (Aug 2019),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213,http://www.chatthillseventing.com/
Chattahoochee Hills  ,Chattahoochee Hills H.T. (Aug 2020),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213,http://www.chatthillseventing.com/
Chattahoochee Hills  ,Chattahoochee Hills H.T.(Feb 2020),3,-84.71646,33.63024,10045 Cedar Grove Road,Chattahoochee Hills,Fairburn,GA,30213,http://ChattHillsEventing.com
Chattahoochee Hills  ,Chattahoochee Hills H.T.(Oct 2019),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213,http://www.chatthillseventing.com/
Chattahoochee Hills  ,Chattahoochee Hills H.T.(Oct 2020),3,-84.71646,33.63024,10045 Cedar Grove Road,Chattahoochee Hills,Fairburn,GA,30213,http://www.chatthillseventing.com/
Chattahoochee Hills  ,Chattahoochee Hills HT Summer 1,3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213,http://www.chatthillseventing.com/
Chattahoochee Hills  ,Chattahoochee Hills May H.T.,3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213,http://www.chatthillseventing.com/
Chattahoochee Hills  ,Chattahoochee Hills May H.T.,3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213,http://www.chatthillseventing.com/
