Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place
Dressage Test of Choice Eventing,Pipe Opener 1 - CHP (Jan 2021),Jill Yurgeles,Dr. Shipley, , , ,0:00, , , , , , , 
Dressage Test of Choice Eventing,Pipe Opener 1 - CHP (Jan 2021),Foy  Barksdale,Buford, , , ,0:00, , , , , , , 
Dressage Test of Choice Eventing,Pipe Opener 1 - CHP (Jan 2021),Hayley Norfleet,Shrilanka Oak, , , ,0:00, , , , , , , 
Dressage Test of Choice Eventing,Pipe Opener 1 - CHP (Jan 2021),Hayley Norfleet,Shrilanka Oak, , , ,0:00, , , , , , , 
Dressage Test of Choice Eventing,Pipe Opener 1 - CHP (Jan 2021),Anne Chapman,Glory Cat, , , ,0:00, , , , , , , 
Dressage Test of Choice Eventing,Pipe Opener 1 - CHP (Jan 2021),Ellen Agler,Excel Star Briarhill's Echo, , , ,0:00, , , , , , , 
Dressage Test of Choice Eventing,Pipe Opener 1 - CHP (Jan 2021),Bradi Granger,Claymoore, , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Elissa  LiBrizzi,Concho, , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Dana Mertzel,Sir Max , , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Nicole  Lindamood,Speedway Monkey, , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Morgan Spring,Growl , , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Foy  Barksdale,Buford, , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Tammy Leber ,Indian Summer Kaylee, , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Michele Poulter,Katie, , , ,0:00, , , , , , , 
Dressage Test of Choice Intro,Pipe Opener 1 - CHP (Jan 2021),Bridget O'Neill,Kustody Kase, , , ,0:00, , , , , , , 
Dressage Test of Choice Training Level,Pipe Opener 1 - CHP (Jan 2021),Elizabeth Holden,Pata Gold, , , ,0:00, , , , , , , 
Dressage Test of Choice Training Level,Pipe Opener 1 - CHP (Jan 2021),Catherine Williams*,SVS Belladonna, , , ,0:00, , , , , , , 
Dressage Test of Choice Training Level,Pipe Opener 1 - CHP (Jan 2021),Catherine Williams*,SVS Belladonna, , , ,0:00, , , , , , , 
Dressage Test of Choice Upper Level,Pipe Opener 1 - CHP (Jan 2021),Audrey Wiggins,Spookhill At Last, , , ,0:00, , , , , , , 
Dressage Test of Choice Upper Level,Pipe Opener 1 - CHP (Jan 2021),Tammy Leber ,Indian Summer Kaylee, , , ,0:00, , , , , , , 
Dressage Test of Choice Upper Level,Pipe Opener 1 - CHP (Jan 2021),Danielle Farr Veasy*,Harrison VZ, , , ,0:00, , , , , , , 
Dressage Test of Choice Upper Level,Pipe Opener 1 - CHP (Jan 2021),Michelle Frazier,Raucous Caucus, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Sarah Stahmer,Fernhill Choc, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Hailey Hudspeth*,Cookies N Cream, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Ashley  Duda,Southside, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Michelle Frazier,Raucous Caucus, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Lizzie Snow,Tiz Patrick, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Elodie Gordon-Holladay,Superluminal, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Andrew Diemer,Keystone Silhouette, , , ,0:00, , , , , , , 
Extra Show Jumping Round,Pipe Opener 1 - CHP (Jan 2021),Lizzie Snow,Tiz Patrick, , , ,0:00, , , , , , , 
Intermediate Combined Test,Pipe Opener 1 - CHP (Jan 2021),Andrew McConnon,Ferrie's Cello,22.90,HC,0.00,0.00,22.90,HC, ,0:00, , , 
Intermediate Combined Test,Pipe Opener 1 - CHP (Jan 2021),Maya Simmons,Starfield Diathi,33.60,2,4.00,0.00,37.60,1, ,0:00, , , 
Intermediate Combined Test,Pipe Opener 1 - CHP (Jan 2021),Colette Leber,Willie Wiggins,33.50,1,8.00,0.00,41.50,2, ,0:00, , , 
Modified Combined Test,Pipe Opener 1 - CHP (Jan 2021),Ella  Braundel,Categorically Cooley,30.40,4,0.00,0.00,30.40,1, ,0:00, , , 
Modified Combined Test,Pipe Opener 1 - CHP (Jan 2021),Finley Habenicht*,Aleta NSF,27.60,1,4.00,0.00,31.60,2, ,0:00, , , 
Modified Combined Test,Pipe Opener 1 - CHP (Jan 2021),Kaley Crosby,Valentino,28.50,2,4.00,0.00,32.50,3, ,0:00, , , 
Modified Combined Test,Pipe Opener 1 - CHP (Jan 2021),Heidi Grimm Powell*,Finntastic!,29.40,3,4.00,0.00,33.40,4, ,0:00, , , 
Modified Combined Test,Pipe Opener 1 - CHP (Jan 2021),Daryl Kinney,Punch It,35.40,5,4.00,0.00,39.40,5, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Will Faudree,Mama's Magic Way,20.70,1,0.00,0.00,20.70,1, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Will Faudree,FRH Ramona,23.90,2,0.00,0.00,23.90,2, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Daryl Kinney,Moneyball,25.20,3,0.00,0.00,25.20,3, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Will Faudree,PFun,25.40,4,0.00,0.00,25.40,4, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Andrew McConnon,D'Luxe Steel,25.90,5,0.00,0.00,25.90,5, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Andrew McConnon,Wakita 54,26.10,6,0.00,0.00,26.10,6, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Maya Simmons,Don Sandro,28.00,7,0.00,0.00,28.00,7, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Daryl Kinney,Monte Carlo,28.30,8,0.00,0.00,28.30,8, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Maia Kantorowski*,Pebbly Maximus,28.50,9,0.00,0.00,28.50,9, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Will Faudree,Carli 13,29.10,10,0.00,0.00,29.10,10, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Maia Kantorowski*,Kiltubrid Rebel,29.80,11,0.00,0.00,29.80,11, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Mikaela Kantorowski*,Ringfort Swan Song,30.40,12,0.00,0.00,30.40,12, ,0:00, , , 
Preliminary Combined Test,Pipe Opener 1 - CHP (Jan 2021),Will Faudree,Pleasant Humphrey,31.30,13,0.00,0.00,31.30,13, ,0:00, , , 
Training Combined Test-A,Pipe Opener 1 - CHP (Jan 2021),Andrew McConnon,FE Caspian,28.60,2-T,0.00,0.00,28.60,1, ,0:00, , , 
Training Combined Test-A,Pipe Opener 1 - CHP (Jan 2021),Anne Beech*,The Red Menace,29.10,4,0.00,0.00,29.10,2, ,0:00, , , 
