Title,Longitude,Latitude,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate_Decimal,Fall_Rate_Percent,End_Datetime
Full Moon Farms H.T.(Nov 2020),-76.91386,39.4572,59.9,0,4.9,9.8,3.2,0.72,0,0,0.19,1,130,0.007692308,0.769230769,11/8/20
Horse Trials at Majestic Oaks (Nov 2020),-82.21323,29.40346,74.7,0,16.2,9.7,54.1,0.67,0,0.01,0.18,2,120,0.016666667,1.666666667,11/7/20
November 5th: Barnstaple Jackpot + 3-Phase,-82.21323,29.40346,69.9,0,12.6,9.8,35.1,0.59,0.01,0.18,0.23,0,21,0,0,11/5/20
Galway Downs International Event & H.T.(Oct 2020),-117.03396,33.48728,60.7,0,8.4,9.7,0,0.44,0.06,0.06,0.06,11,376,0.029255319,2.925531915,10/28/20
Chattahoochee Hills H.T.(Oct 2020),-84.71646,33.63024,68.2,2.75,6.6,7.9,72.5,0.27,0,0,0,7,204,0.034313725,3.431372549,10/24/20
Grand Oaks Horse Trials,-82.21323,29.40346,64.1,0.14,13.4,8.7,25.5,0.92,0,0,0.01,3,169,0.017751479,1.775147929,11/23/19
Grand Oaks Horse Trials,-82.21323,29.40346,64.1,0.14,13.4,8.7,25.5,0.92,0,0,0.01,3,169,0.017751479,1.775147929,1/18/19
Waredaca Classic Horse Trials (Oct 2020),-77.08061,39.23332,66.3,0.01,7.9,5.5,30.1,0.17,0,0,0.1,3,99,0.03030303,3.03030303,10/22/20
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859,81.2,0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496,0.939849624,8/9/20
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859,81.2,0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496,0.939849624,2/17/20
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859,81.2,0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496,0.939849624,10/20/19
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859,81.2,0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496,0.939849624,7/21/19
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859,81.2,0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496,0.939849624,5/12/19
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859,81.2,0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496,0.939849624,2/24/19
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859,81.2,0,11.6,9.5,3.9,0.63,1.51,3.29,4.7,5,532,0.009398496,0.939849624,12/13/20
War Horse Event Series October H.T.(Oct 2020),-79.36633,35.01506,70.3,1.14,9.3,7.4,94.7,0.81,0.04,0.04,0.04,0,2,0,0,10/11/20
