EventID,EventDateDisplayRange,Title,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite,Merge_Event,Merge_Name,Merge_Candidate
17326,"APRIL 25-26, 2020",University of New Hampshire,1,-70.939983,43.142417,288 Mast Road,UNH Equine Center,Durham,NH,3824.0,https://colsa.unh.edu/agriculture-nutrition-food-systems/horse-trials,University of New Hampshire,University of New Hampshire,Needs Key Lookup
17523,MAY 9,Apple Knoll Farm,1,-70.57220500000001,41.861244,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/,Apple Knoll Farm,Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2020)
17535,MAY 10,Riga Meadow at Coole Park Combined Test,1,-73.425545,42.014503000000005,339 Undermountain Rd.,Riga Meadow Equestrian Center,Salisbury,CT,6068.0,http://www.area1usea.org/,Riga Meadow at Coole Park Combined Test,Riga Meadow at Coole Park Combined Test,Needs Key Lookup
17350,MAY 23,Mystic Valley Hunt Club.,1,-72.040755,41.404596999999995,645 Long Cove Rd,Mystic Valley Hunt Club,Gales Ferry,CA,6335.0,http://www.info@mvhchorse.com/,Mystic Valley Hunt Club.,Mystic Valley Hunt Club.,Fox River Valley Pony Club HT
17376,JUNE 14,Larkin Hill,1,-73.64431400000001,42.479085999999995,114 Woodward Rd,Larkin Hill Farm,Nassau,NY,12123.0,http://www.larkinhill.com,Larkin Hill,Larkin Hill,Larkin Hill HT
17382,JUNE 21,Kent School Spring,1,-72.738304,41.573502000000005,30 Westwoods Rd.,Kent School,Kent,CT,6359.0,https://area1usea.org/competitions/sanctioned-events/,Kent School Spring,Kent School Spring,Kent School Horse Trials
17384,"JUNE 26-28, 2020",Groton House Farm,1,-70.871843,42.648485,746 Highland St.,Groton House Farm,Hamilton,MA,1982.0,http://www.grotonhousefarm.com/,Groton House Farm,Groton House Farm,Groton House Farm Horse Trials
17357,"JUNE 27-28, 2020",GMHA June,1,-72.539261,43.557084,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://www.gmhainc.org,GMHA June,GMHA June,GMHA June Horse Trials
17410,"JULY 4-5, 2020",Larkin Hill,1,-73.64431400000001,42.479085999999995,114 Woodward Rd,Larkin Hill Farm,Nassau,NY,12123.0,http://www.larkinhill.com,Larkin Hill,Larkin Hill,Larkin Hill HT
17403,"JULY 11-12, 2020",Huntington Farm  ,1,-72.354309,43.834476,130 Justin Morrill Hwy,Huntington Farm,South Strafford,VT,5070.0,http://www.area1usea.org,Huntington Farm  ,Huntington Farm  ,WindRidge Farm HT
